"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"12.04.2015","82.417,73","82.631,25","83.339,33","80.703,99","3,68B","-0,28%"
"05.04.2015","82.645,75","82.343,90","83.786,17","81.894,41","3,07B","-0,42%"
"29.03.2015","82.994,31","80.876,34","83.047,26","80.464,33","2,74B","2,60%"
"22.03.2015","80.894,15","82.569,54","83.768,48","80.233,93","3,31B","-1,95%"
"15.03.2015","82.506,35","77.676,66","82.731,79","77.178,28","3,45B","7,65%"
"08.03.2015","76.642,13","81.206,98","81.756,73","76.642,13","3,76B","-4,57%"
"01.03.2015","80.310,16","84.405,29","84.674,44","80.014,41","3,66B","-4,56%"
"22.02.2015","84.147,51","85.486,78","87.847,19","83.784,59","3,72B","-1,57%"
"15.02.2015","85.488,89","86.144,69","86.572,42","84.151,59","2,99B","-0,37%"
"08.02.2015","85.809,25","85.008,66","86.357,19","82.975,25","3,85B","0,97%"
"01.02.2015","84.987,42","89.144,83","90.048,20","84.909,96","3,45B","-4,45%"
"25.01.2015","88.945,82","90.549,11","91.805,74","88.045,33","3,03B","-1,97%"
"18.01.2015","90.736,05","87.696,58","91.585,11","87.584,91","3,39B","3,80%"
"11.01.2015","87.416,40","87.917,41","88.738,83","86.862,51","3,54B","-0,26%"
"04.01.2015","87.648,35","85.495,31","88.326,79","85.411,37","3,58B","2,56%"
"28.12.2014","85.458,92","84.758,24","85.850,63","83.587,15","1,59B","0,60%"
"21.12.2014","84.947,31","83.600,42","85.433,91","83.343,55","2,15B","1,64%"
"14.12.2014","83.573,55","82.940,24","83.794,26","78.844,01","3,83B","0,42%"
"07.12.2014","83.226,38","85.334,18","85.543,04","83.061,90","3,28B","-2,36%"
"30.11.2014","85.239,92","86.214,06","87.010,15","84.543,99","3,90B","-1,08%"
"23.11.2014","86.168,66","83.115,93","87.048,14","82.557,77","3,90B","3,47%"
"16.11.2014","83.281,80","81.352,71","83.471,01","80.456,31","4,02B","2,55%"
"09.11.2014","81.211,55","78.346,16","81.503,91","77.636,05","3,68B","4,17%"
"02.11.2014","77.957,75","80.555,70","80.987,59","77.133,08","3,79B","-3,25%"
"26.10.2014","80.579,66","79.782,99","81.146,99","78.543,61","2,35B","1,46%"
"19.10.2014","79.417,13","76.173,21","79.952,38","75.846,81","3,55B","5,14%"
"12.10.2014","75.533,29","73.790,62","75.977,11","73.724,08","3,84B","2,77%"
"05.10.2014","73.494,06","73.363,49","75.353,38","72.612,18","1,94B","-1,20%"
"28.09.2014","74.384,37","74.602,22","75.209,53","73.539,88","2,52B","-0,33%"
"21.09.2014","74.632,42","76.947,14","77.803,32","73.846,78","2,87B","-2,98%"
"14.09.2014","76.921,94","77.685,96","79.405,83","76.921,94","2,72B","-1,16%"
"07.09.2014","77.820,83","82.392,32","82.628,16","77.703,56","2,82B","-5,32%"
"31.08.2014","82.193,10","80.455,28","82.347,69","80.178,80","2,52B","2,34%"
"24.08.2014","80.312,94","79.172,79","81.611,46","78.922,99","2,32B","1,75%"
"17.08.2014","78.929,59","77.176,63","79.525,34","76.539,60","2,89B","2,92%"
"10.08.2014","76.692,07","80.427,19","80.483,42","76.625,89","3,07B","-3,17%"
"03.08.2014","79.199,41","82.416,86","82.988,29","77.751,04","2,92B","-3,53%"
"27.07.2014","82.093,94","83.918,79","84.356,42","80.915,18","1,18B","-2,52%"
"20.07.2014","84.218,02","82.692,66","84.289,65","82.164,72","2,74B","2,31%"
"13.07.2014","82.314,53","79.809,04","82.492,19","79.669,84","2,66B","3,72%"
"06.07.2014","79.364,43","77.381,03","79.837,02","77.255,09","2,52B","2,36%"
"29.06.2014","77.534,77","78.764,32","79.263,79","76.056,23","2,39B","-1,19%"
"22.06.2014","78.472,38","78.752,44","80.057,47","77.756,66","2,09B","0,09%"
"15.06.2014","78.400,69","78.202,76","79.431,24","77.443,76","2,54B","-0,77%"
"08.06.2014","79.011,62","80.860,88","81.915,44","77.855,06","3,53B","-1,72%"
"01.06.2014","80.397,55","79.648,43","80.637,03","78.217,72","2,94B","1,40%"
"25.05.2014","79.289,80","77.946,65","79.999,34","77.269,80","3,06B","1,57%"
"18.05.2014","78.060,64","75.310,80","78.452,69","74.655,43","2,38B","4,07%"
"11.05.2014","75.009,31","76.051,19","76.768,63","74.570,48","2,63B","-0,73%"
"04.05.2014","75.562,95","75.343,71","76.106,31","74.416,11","2,97B","0,54%"
"27.04.2014","75.159,06","71.615,84","75.430,77","71.166,64","2,58B","5,28%"
"20.04.2014","71.388,74","73.562,20","73.702,59","71.286,02","2,03B","-2,84%"
"13.04.2014","73.476,01","72.578,21","74.441,80","71.989,74","3,06B","1,02%"
"06.04.2014","72.736,33","72.140,47","73.961,93","72.032,77","3,00B","0,21%"
"30.03.2014","72.582,86","70.464,73","72.683,23","68.721,04","4,43B","5,01%"
"23.03.2014","69.117,32","64.755,35","69.318,49","63.710,45","3,54B","7,03%"
"16.03.2014","64.579,37","63.761,05","66.023,08","63.761,05","2,49B","2,06%"
"09.03.2014","63.278,93","62.791,03","64.126,72","62.139,60","2,45B","0,29%"
"02.03.2014","63.095,99","61.654,54","64.174,18","61.166,36","2,22B","0,87%"
"23.02.2014","62.553,32","64.036,67","64.377,31","61.141,72","2,41B","-2,09%"
"16.02.2014","63.885,62","65.437,15","65.915,73","62.705,15","2,62B","-1,54%"
"09.02.2014","64.882,91","64.350,89","65.048,25","63.572,24","2,79B","0,42%"
"02.02.2014","64.614,34","62.165,85","64.924,31","60.848,52","3,40B","4,46%"
"26.01.2014","61.858,21","64.360,15","65.546,61","60.753,53","3,96B","-3,99%"
"19.01.2014","64.427,52","64.895,65","67.450,72","63.271,64","3,28B","-1,84%"
"12.01.2014","65.635,03","68.389,73","68.691,29","65.635,03","3,00B","-3,35%"
"05.01.2014","67.912,11","66.281,50","68.959,19","65.742,31","3,41B","2,95%"
"29.12.2013","65.967,14","65.292,37","68.705,24","64.925,97","2,65B","3,26%"
"22.12.2013","63.885,22","70.138,95","70.234,04","61.150,17","3,53B","-8,18%"
"15.12.2013","69.572,83","73.873,35","74.973,76","68.184,36","3,99B","-6,07%"
"08.12.2013","74.064,98","74.000,40","74.950,88","72.930,58","2,23B","0,94%"
"01.12.2013","73.378,44","75.896,86","76.197,22","71.612,49","2,64B","-3,13%"
"24.11.2013","75.748,27","76.483,66","77.044,07","74.469,61","2,21B","0,15%"
"17.11.2013","75.638,05","74.634,14","75.874,65","73.970,18","2,95B","1,84%"
"10.11.2013","74.273,24","74.155,71","74.887,41","70.835,67","3,59B","0,48%"
"03.11.2013","73.918,30","76.546,39","77.099,10","73.754,08","2,30B","-3,38%"
"27.10.2013","76.501,23","79.644,50","80.462,89","76.387,42","1,97B","-3,49%"
"20.10.2013","79.271,50","78.160,83","79.588,80","77.856,13","3,02B","3,98%"
"13.10.2013","76.234,96","76.061,85","76.414,78","75.992,26","109,01M","0,08%"
"06.10.2013","76.176,36","75.839,16","76.413,06","73.809,62","2,33B","-0,04%"
"29.09.2013","76.206,97","74.341,79","76.863,89","73.545,18","2,98B","1,92%"
"22.09.2013","74.772,34","77.873,82","78.127,34","74.772,34","2,77B","-3,97%"
"15.09.2013","77.862,93","73.031,14","80.569,53","73.031,14","3,81B","8,69%"
"08.09.2013","71.635,02","67.958,36","72.778,58","67.930,46","3,04B","6,55%"
"01.09.2013","67.232,42","67.446,34","68.828,63","66.212,70","2,38B","1,26%"
"25.08.2013","66.394,41","68.215,41","68.947,49","63.887,70","2,37B","-2,26%"
"18.08.2013","67.932,32","73.693,10","73.693,10","67.297,09","2,57B","-8,54%"
"11.08.2013","74.275,43","74.264,51","76.134,10","73.472,43","2,13B","0,99%"
"04.08.2013","73.544,83","74.168,92","74.896,69","73.544,83","760,78M","-0,66%"
"28.07.2013","74.032,75","72.352,27","74.593,37","72.070,08","2,37B","2,04%"
"21.07.2013","72.555,00","76.181,83","77.176,29","72.455,21","2,67B","-4,37%"
"14.07.2013","75.873,99","74.275,51","77.662,96","74.200,44","3,32B","2,64%"
"07.07.2013","73.921,95","73.257,01","73.935,79","70.409,35","3,02B","1,11%"
"30.06.2013","73.111,83","76.423,80","76.965,67","73.050,20","2,27B","-4,17%"
"23.06.2013","76.294,51","72.718,74","77.016,03","70.093,95","3,05B","4,37%"
"16.06.2013","73.101,76","78.596,16","80.306,50","72.496,59","2,84B","-8,64%"
"09.06.2013","80.011,09","76.903,34","80.048,27","74.306,98","3,18B","2,14%"
"02.06.2013","78.332,59","80.463,03","82.218,48","73.033,70","3,75B","-8,91%"
"26.05.2013","85.990,01","91.169,17","91.628,23","84.867,35","3,04B","-5,52%"
"19.05.2013","91.016,31","92.172,88","93.398,33","89.975,65","2,74B","-0,99%"
"12.05.2013","91.924,84","89.367,48","93.116,29","88.926,83","2,82B","2,63%"
"05.05.2013","89.568,89","89.055,55","91.371,70","88.759,86","2,66B","0,53%"
"28.04.2013","89.093,70","85.325,53","89.986,73","84.627,58","2,24B","4,68%"
"21.04.2013","85.112,29","83.611,26","85.573,24","83.236,63","1,74B","2,19%"
"14.04.2013","83.285,45","84.310,56","85.911,17","82.323,01","2,47B","-1,53%"
"07.04.2013","84.581,07","82.299,84","84.836,25","82.033,19","2,31B","3,06%"
"31.03.2013","82.071,25","85.811,97","86.370,94","82.071,25","2,34B","-4,46%"
"24.03.2013","85.898,99","83.032,61","85.999,29","82.372,19","2,33B","4,18%"
"17.03.2013","82.452,04","82.298,04","83.929,60","81.847,66","1,91B","-0,80%"
"10.03.2013","83.115,48","83.519,07","83.932,95","81.981,58","2,10B","-0,51%"
"03.03.2013","83.541,62","79.859,31","83.763,78","79.823,34","2,71B","4,60%"
"24.02.2013","79.867,54","76.073,46","79.995,13","75.634,39","2,68B","5,23%"
"17.02.2013","75.898,69","78.419,05","79.074,49","75.667,54","2,65B","-2,80%"
"10.02.2013","78.081,40","78.831,90","79.301,13","76.630,45","2,68B","-0,77%"
"03.02.2013","78.683,99","80.413,34","81.219,63","77.211,22","3,13B","-1,92%"
"27.01.2013","80.221,68","84.902,67","84.905,52","78.647,84","3,60B","-5,35%"
"20.01.2013","84.755,10","85.297,46","86.787,15","84.532,49","3,96B","-0,29%"
"13.01.2013","85.004,87","81.417,20","85.596,65","81.229,43","3,67B","4,90%"
"06.01.2013","81.033,52","79.800,65","81.505,03","79.674,06","3,55B","1,85%"
"30.12.2012","79.563,95","78.541,95","80.165,66","77.676,06","2,11B","1,25%"
"23.12.2012","78.579,08","76.811,17","79.077,32","76.719,77","2,42B","2,47%"
"16.12.2012","76.684,74","76.382,45","78.136,69","76.300,76","2,39B","0,51%"
"09.12.2012","76.293,15","76.236,01","77.804,38","76.047,54","2,92B","0,07%"
"02.12.2012","76.242,20","73.125,79","76.346,25","73.125,79","3,26B","4,36%"
"25.11.2012","73.058,51","71.183,76","73.074,64","71.107,93","2,71B","2,89%"
"18.11.2012","71.004,31","70.938,81","71.435,50","69.817,03","2,70B","0,30%"
"11.11.2012","70.790,51","71.818,19","72.552,76","70.759,68","2,22B","-1,43%"
"04.11.2012","71.820,28","71.615,09","73.313,87","71.092,91","2,90B","0,56%"
"28.10.2012","71.422,61","70.676,54","72.940,82","70.629,47","2,05B","1,01%"
"21.10.2012","70.708,41","70.800,44","71.341,96","70.531,86","837,42M","-0,09%"
"14.10.2012","70.774,02","69.562,97","70.923,16","69.277,49","1,93B","1,68%"
"07.10.2012","69.603,13","67.345,61","69.969,05","67.103,57","2,42B","3,29%"
"30.09.2012","67.383,68","66.270,14","67.809,44","65.639,64","2,39B","1,49%"
"23.09.2012","66.396,71","67.419,16","68.001,13","66.093,97","2,22B","-2,20%"
"16.09.2012","67.891,46","68.005,06","68.258,67","66.473,11","2,19B","-0,42%"
"09.09.2012","68.180,49","68.121,96","68.540,68","67.256,46","2,18B","0,36%"
"02.09.2012","67.937,05","67.304,02","68.266,42","66.709,08","2,21B","0,84%"
"26.08.2012","67.367,95","65.695,22","67.367,95","65.695,22","1,45B","2,61%"
"19.08.2012","65.654,31","65.808,45","66.599,17","65.517,93","912,64M","-0,16%"
"12.08.2012","65.758,47","65.027,79","65.953,69","63.739,79","1,66B","0,97%"
"05.08.2012","65.126,00","65.320,43","66.140,92","64.022,00","2,11B","-0,27%"
"29.07.2012","65.303,64","64.522,86","65.444,94","63.265,15","2,38B","1,45%"
"22.07.2012","64.372,81","61.390,59","64.498,27","60.466,68","2,12B","4,18%"
"15.07.2012","61.792,16","62.717,15","63.019,76","61.404,86","1,87B","-1,39%"
"08.07.2012","62.662,16","62.725,43","63.575,71","62.107,60","1,86B","-0,19%"
"01.07.2012","62.780,58","62.310,19","63.158,45","61.742,34","2,11B","0,38%"
"24.06.2012","62.543,49","59.860,96","62.543,49","59.479,36","2,35B","3,46%"
"17.06.2012","60.451,41","58.897,55","60.815,43","58.145,07","2,14B","3,39%"
"10.06.2012","58.467,79","58.243,09","58.663,53","57.504,82","1,97B","2,04%"
"03.06.2012","57.300,02","55.191,67","57.365,55","55.132,45","2,07B","3,12%"
"27.05.2012","55.568,37","55.091,48","55.790,43","54.366,31","2,31B","1,38%"
"20.05.2012","54.809,94","57.240,13","57.484,56","53.997,64","2,13B","-3,73%"
"13.05.2012","56.935,76","58.677,99","58.906,66","56.404,94","2,16B","-3,29%"
"06.05.2012","58.872,62","58.248,77","59.325,48","58.047,71","1,93B","-0,24%"
"29.04.2012","59.015,69","60.794,65","60.861,81","58.820,10","1,68B","-2,61%"
"22.04.2012","60.596,68","59.571,57","61.076,07","59.241,23","2,18B","0,79%"
"15.04.2012","60.122,90","60.205,66","61.245,32","59.695,60","2,56B","-0,76%"
"08.04.2012","60.582,60","60.866,90","61.246,78","59.388,42","2,97B","-0,59%"
"01.04.2012","60.939,55","62.598,34","63.616,88","60.832,01","3,16B","-2,38%"
"25.03.2012","62.423,04","61.139,69","63.035,28","61.093,44","3,15B","1,64%"
"18.03.2012","61.417,44","62.424,34","63.015,60","61.248,92","3,03B","-1,47%"
"11.03.2012","62.336,32","59.146,31","62.376,89","58.778,01","3,07B","5,15%"
"04.03.2012","59.280,43","60.608,84","60.608,84","58.862,68","2,42B","-2,66%"
"26.02.2012","60.902,41","59.571,97","61.022,05","58.378,71","2,79B","1,95%"
"19.02.2012","59.737,53","61.599,03","61.778,66","59.142,79","3,19B","-2,25%"
"12.02.2012","61.111,30","59.806,56","61.111,30","59.147,20","3,07B","3,00%"
"05.02.2012","59.332,11","59.917,51","61.587,57","58.988,29","3,16B","-1,36%"
"29.01.2012","60.147,96","57.053,88","60.442,83","56.904,88","3,36B","4,87%"
"22.01.2012","57.356,72","54.773,24","57.581,86","54.223,73","3,10B","4,50%"
"15.01.2012","54.888,55","51.712,14","55.056,62","51.484,36","3,04B","6,45%"
"08.01.2012","51.561,68","50.497,76","52.792,60","49.263,30","2,59B","2,75%"
"01.01.2012","50.182,53","51.314,57","52.956,73","50.007,03","1,97B","-2,11%"
"25.12.2011","51.266,62","52.235,82","52.618,38","51.013,40","1,17B","-1,31%"
"18.12.2011","51.948,62","51.450,31","52.846,11","50.639,56","1,87B","0,55%"
"11.12.2011","51.665,78","53.557,49","53.885,46","51.088,40","2,07B","-4,03%"
"04.12.2011","53.834,91","54.944,16","55.537,56","52.655,86","2,07B","-1,71%"
"27.11.2011","54.769,25","51.575,94","55.154,53","51.303,34","2,67B","7,24%"
"20.11.2011","51.071,22","54.300,73","54.506,52","48.812,40","2,65B","-6,25%"
"13.11.2011","54.473,90","56.609,02","56.770,67","54.344,70","2,03B","-3,07%"
"06.11.2011","56.201,45","54.965,82","56.391,97","54.874,86","769,74M","0,04%"
"30.10.2011","56.180,24","56.810,95","56.955,26","54.121,84","2,47B","-1,51%"
"23.10.2011","57.042,36","57.023,68","57.446,86","55.339,26","2,07B","0,44%"
"16.10.2011","56.792,34","59.566,82","59.958,89","55.387,64","2,34B","-4,23%"
"09.10.2011","59.300,29","57.731,71","59.881,16","57.391,99","2,29B","3,42%"
"02.10.2011","57.338,78","58.906,61","60.115,73","56.507,83","2,60B","-3,94%"
"25.09.2011","59.693,43","55.216,41","60.110,40","55.009,29","2,59B","5,98%"
"18.09.2011","56.323,38","57.344,09","61.721,84","55.682,81","3,51B","-2,72%"
"11.09.2011","57.896,50","55.041,46","58.103,60","54.518,96","2,37B","3,57%"
"04.09.2011","55.902,98","54.551,66","56.979,80","53.885,94","2,45B","0,95%"
"28.08.2011","55.375,28","54.124,07","55.760,63","53.624,99","494,34M","3,11%"
"21.08.2011","53.707,56","51.726,14","53.927,39","51.569,96","2,39B","1,22%"
"14.08.2011","53.061,74","52.811,50","54.853,83","49.930,66","2,97B","1,67%"
"07.08.2011","52.188,65","55.111,78","55.944,61","48.600,16","4,52B","-7,25%"
"31.07.2011","56.265,52","62.731,80","62.799,83","55.625,45","2,73B","-9,68%"
"24.07.2011","62.295,68","59.227,30","62.530,88","58.486,41","2,05B","4,17%"
"17.07.2011","59.802,32","62.426,34","62.696,84","59.434,48","2,07B","-4,52%"
"10.07.2011","62.635,13","63.302,94","63.787,09","61.801,59","1,91B","-1,51%"
"03.07.2011","63.596,17","63.319,51","64.463,13","63.045,28","1,74B","0,52%"
"26.06.2011","63.264,51","61.669,03","63.640,85","61.542,65","1,88B","1,92%"
"19.06.2011","62.072,64","61.102,10","62.597,48","60.311,28","1,90B","0,58%"
"12.06.2011","61.716,68","64.102,85","64.334,79","59.840,38","2,78B","-3,11%"
"05.06.2011","63.700,30","63.000,84","64.477,92","63.000,84","2,41B","1,42%"
"29.05.2011","62.806,94","62.113,12","63.708,59","61.138,86","2,65B","0,64%"
"22.05.2011","62.407,42","62.869,03","65.017,13","61.854,09","2,59B","-1,41%"
"15.05.2011","63.298,58","64.322,71","65.637,65","62.512,03","2,17B","-1,99%"
"08.05.2011","64.585,22","68.310,49","68.574,33","64.503,00","3,01B","-5,36%"
"01.05.2011","68.240,93","69.620,91","70.335,62","67.968,14","2,87B","-1,46%"
"24.04.2011","69.250,14","68.721,52","69.408,66","67.345,55","2,86B","0,81%"
"17.04.2011","68.691,77","68.810,39","68.810,39","66.283,40","3,35B","0,35%"
"10.04.2011","68.450,46","67.853,37","68.911,52","67.583,63","2,93B","0,52%"
"03.04.2011","68.093,26","65.633,93","69.795,99","65.480,35","4,61B","3,62%"
"27.03.2011","65.714,40","64.376,06","65.714,40","63.357,80","3,33B","2,28%"
"20.03.2011","64.247,00","63.794,40","65.171,01","63.324,67","3,63B","0,64%"
"13.03.2011","63.839,27","63.756,16","65.120,97","62.500,66","4,26B","0,09%"
"06.03.2011","63.781,67","60.561,07","63.847,13","59.424,15","4,69B","4,37%"
"27.02.2011","61.112,83","61.577,82","61.809,28","58.068,41","3,85B","-0,41%"
"20.02.2011","61.367,34","65.899,32","65.899,32","60.547,40","3,77B","-7,00%"
"13.02.2011","65.985,76","65.347,61","66.388,91","64.373,12","3,81B","1,94%"
"06.02.2011","64.730,35","65.538,97","66.163,09","63.994,63","3,00B","-0,89%"
"30.01.2011","65.309,00","62.589,06","65.868,81","61.957,01","3,76B","3,32%"
"23.01.2011","63.211,27","66.236,68","66.393,03","62.889,29","3,73B","-4,12%"
"16.01.2011","65.927,31","67.654,83","67.680,63","64.471,70","3,98B","-2,88%"
"09.01.2011","67.879,62","68.515,26","68.991,53","67.300,87","3,99B","-1,30%"
"02.01.2011","68.770,29","66.363,04","69.725,27","66.127,36","5,10B","4,19%"
"26.12.2010","66.004,48","66.163,73","67.156,02","65.258,89","3,54B","-0,40%"
"19.12.2010","66.267,34","63.572,18","66.396,49","62.436,72","3,20B","4,32%"
"12.12.2010","63.524,18","65.122,10","66.970,75","62.867,75","3,76B","-1,91%"
"05.12.2010","64.759,02","67.169,09","68.524,06","64.629,40","3,39B","-3,14%"
"28.11.2010","66.860,19","66.481,92","67.551,97","63.834,77","3,59B","1,08%"
"21.11.2010","66.147,74","71.095,61","71.151,66","65.406,38","2,93B","-5,50%"
"14.11.2010","69.998,07","69.332,90","70.054,71","69.048,57","157,78M","0,64%"
"07.11.2010","69.553,08","70.401,70","71.665,62","68.561,46","3,38B","-1,73%"
"31.10.2010","70.779,15","69.442,10","71.339,82","68.146,31","3,21B","2,94%"
"24.10.2010","68.760,46","71.498,42","71.776,92","67.312,11","2,04B","-3,16%"
"17.10.2010","71.006,82","69.980,75","71.268,01","69.184,58","3,54B","1,29%"
"10.10.2010","70.101,22","67.508,89","70.820,34","67.508,89","4,67B","4,29%"
"03.10.2010","67.217,24","64.980,51","67.398,49","64.709,13","2,82B","3,60%"
"26.09.2010","64.882,72","64.476,99","66.121,97","64.231,09","2,79B","1,00%"
"19.09.2010","64.241,48","63.973,82","64.897,77","63.354,21","2,54B","0,59%"
"12.09.2010","63.862,03","61.905,08","64.447,56","61.434,16","2,90B","5,37%"
"05.09.2010","60.608,08","60.999,73","61.174,18","60.312,29","573,21M","-0,64%"
"29.08.2010","60.998,84","58.972,91","61.253,85","58.811,03","1,61B","2,79%"
"22.08.2010","59.345,93","58.720,00","59.604,70","57.927,41","1,55B","1,01%"
"15.08.2010","58.749,93","58.611,40","59.854,65","58.122,18","1,88B","0,46%"
"08.08.2010","58.479,86","60.344,19","60.441,82","57.654,55","1,63B","-2,13%"
"01.08.2010","59.753,02","60.335,58","60.792,04","58.967,43","1,87B","-0,19%"
"25.07.2010","59.866,75","59.570,81","60.950,85","58.961,69","2,01B","0,96%"
"18.07.2010","59.299,53","57.392,52","60.141,63","57.392,52","1,87B","2,72%"
"11.07.2010","57.729,36","57.199,35","59.065,79","56.658,46","2,08B","1,01%"
"04.07.2010","57.150,90","55.714,34","57.751,01","55.488,43","1,66B","2,72%"
"27.06.2010","55.636,45","56.058,28","56.676,51","53.911,38","1,57B","-0,41%"
"20.06.2010","55.864,24","57.780,43","57.789,40","55.344,33","1,57B","-2,05%"
"13.06.2010","57.034,47","55.667,58","57.641,81","55.160,23","2,14B","3,45%"
"06.06.2010","55.131,63","53.376,49","55.416,13","53.205,91","2,26B","0,95%"
"30.05.2010","54.612,93","54.237,76","56.390,97","53.287,09","3,11B","-1,12%"
"23.05.2010","55.233,68","54.431,22","55.467,09","51.757,20","3,39B","2,07%"
"16.05.2010","54.111,60","54.860,74","57.061,98","53.365,20","2,67B","-2,94%"
"09.05.2010","55.747,88","54.956,24","58.708,83","54.956,24","3,35B","5,81%"
"02.05.2010","52.686,97","58.794,35","58.996,85","52.570,52","3,34B","-10,64%"
"25.04.2010","58.959,10","59.425,90","59.526,07","56.867,01","3,10B","1,06%"
"18.04.2010","58.338,36","57.291,30","59.482,67","56.770,58","2,72B","0,20%"
"11.04.2010","58.223,53","59.670,23","59.771,82","57.759,01","3,83B","-1,63%"
"04.04.2010","59.185,30","58.499,65","59.592,87","57.752,14","2,85B","1,94%"
"28.03.2010","58.059,86","57.069,41","58.383,65","56.244,68","3,03B","2,56%"